t_ms,x,y
5477,1041.12,657.11
5482,1041.12,657.11
5487,1041.12,657.11
5492,1041.12,657.11
5497,1041.12,657.11
5502,1041.12,657.11
5506,1041.12,657.11
5511,1041.12,657.11
5516,1041.12,657.11
5521,1041.12,657.11
5525,1041.12,657.11
5530,1041.12,657.11
5535,1041.12,657.11
5539,1041.12,657.11
5544,1041.12,657.11
5549,1041.12,657.11
5554,1041.12,657.11
5558,1041.12,657.11
5563,1041.12,657.11
5567,1041.12,657.11
5572,1041.12,657.11
5577,1041.12,657.11
5582,1041.12,657.11
5587,1041.12,657.11
5592,1041.12,657.11
5597,1041.12,657.11
5602,1041.12,657.11
5607,1041.12,657.11
5612,1041.12,657.11
5617,1041.12,657.11
5622,1041.12,657.11
5626,1041.12,657.11
5631,1041.12,657.11
5636,1041.12,657.11
5641,1041.12,657.11
5646,1041.12,657.11
5651,1041.12,657.11
5656,1041.12,657.11
5661,1041.12,657.11
5665,1041.12,657.11
